date,daily_cases,active_cases,daily_recover,icu_covid,vent_covid,daily_death
6/5/2020,45,1619,135,22,9,1
7/5/2020,39,1584,74,19,8,0
8/5/2020,68,1564,88,18,7,0
9/5/2020,54,1552,65,18,6,1
10/5/2020,67,1523,96,18,6,0
11/5/2020,70,1504,88,20,7,1
12/5/2020,16,1410,110,16,3,0
13/5/2020,37,1387,58,16,4,2
14/5/2020,40,1356,70,16,4,1
15/5/2020,36,1304,88,14,5,0
16/5/2020,17,1247,73,13,5,1
17/5/2020,22,1210,59,13,7,0
18/5/2020,47,1213,44,13,6,0
19/5/2020,37,1218,31,11,6,1
20/5/2020,31,1189,60,11,7,0
