date,State,District,Sub-District,NewCases,CumCases,Recovered,CumRecovered,Deaths,CumDeaths,ActiveCases
04/07/2021,Selangor,Gombak,Penjara,0,241,0,238,0,1,0
04/07/2021,Selangor,Gombak,Rawang,39,5400,45,5219,1,46,135
04/07/2021,Selangor,Gombak,Setapak,49,2378,43,2224,0,20,134
04/07/2021,Selangor,Hulu Langat,Ampang,217,12435,200,11639,4,138,658
04/07/2021,Selangor,Hulu Langat,Beranang,18,1041,9,944,1,14,83
04/07/2021,Selangor,Hulu Langat,Cheras,157,12082,149,11487,1,124,471
04/07/2021,Selangor,Hulu Langat,Hulu Langat,27,2281,33,2186,0,24,72
04/07/2021,Selangor,Hulu Langat,Hulu Semenyih,0,0,0,0,0,0,0
04/07/2021,Selangor,Hulu Langat,Kajang,184,19358,151,18348,2,124,886
04/07/2021,Selangor,Hulu Langat,Penjara,19,2444,53,2396,0,0,48
04/07/2021,Selangor,Hulu Langat,Semenyih,84,5179,55,4852,2,35,292
04/07/2021,Selangor,Hulu Selangor,Ampang Pechah,0,432,3,420,0,4,8
04/07/2021,Selangor,Hulu Selangor,Batang Kali,9,497,4,466,0,4,27
04/07/2021,Selangor,Hulu Selangor,Buluh Telur,0,1,0,1,0,0,0
04/07/2021,Selangor,Hulu Selangor,Hulu Bernam,0,191,0,184,0,3,4
04/07/2021,Selangor,Hulu Selangor,Hulu Yam,9,353,0,81,0,2,270
04/07/2021,Selangor,Hulu Selangor,Kalumpang,1,156,3,146,0,0,10
04/07/2021,Selangor,Hulu Selangor,Kerling,0,70,0,69,0,0,1
04/07/2021,Selangor,Hulu Selangor,Kuala Kalumpang,0,0,0,0,0,0,0
04/07/2021,Selangor,Hulu Selangor,Penjara,0,276,0,276,0,0,0
04/07/2021,Selangor,Hulu Selangor,Pertak,0,0,0,0,0,0,0
04/07/2021,Selangor,Hulu Selangor,Rasa,8,232,9,207,0,0,25
04/07/2021,Selangor,Hulu Selangor,Serendah,79,4034,46,3814,0,26,194
04/07/2021,Selangor,Hulu Selangor,Sungai Gumut,0,0,0,0,0,0,0
04/07/2021,Selangor,Hulu Selangor,Sungai Tinggi,0,91,0,91,0,0,0
04/07/2021,Selangor,Klang,Kapar,86,20571,49,20417,0,53,101
04/07/2021,Selangor,Klang,Klang,239,32389,207,31775,0,188,426
04/07/2021,Selangor,Klang,Penjara,0,13,0,13,0,0,0
04/07/2021,Selangor,Kuala Langat,Bandar,5,390,16,385,0,3,2
04/07/2021,Selangor,Kuala Langat,Batu,0,335,2,328,0,6,1
04/07/2021,Selangor,Kuala Langat,Jugra,0,380,10,372,0,2,6
04/07/2021,Selangor,Kuala Langat,Kelanang,7,161,2,154,0,1,6
04/07/2021,Selangor,Kuala Langat,Morib,2,487,1,474,0,9,4
04/07/2021,Selangor,Kuala Langat,Penjara,0,9,0,9,0,0,0
04/07/2021,Selangor,Kuala Langat,Tanjung 12(1),30,4562,26,4480,0,21,61
04/07/2021,Selangor,Kuala Langat,Tanjung 12(2),37,1774,8,1708,0,8,58
04/07/2021,Selangor,Kuala Langat,Telok Panglima Garang,34,5648,49,5585,1,28,35
04/07/2021,Selangor,Kuala Selangor,Api-Api,0,162,4,156,0,1,5
04/07/2021,Selangor,Kuala Selangor,Bestari Jaya,1,1574,42,1541,0,6,27
04/07/2021,Selangor,Kuala Selangor,Hulu Tinggi,0,0,0,0,0,0,0
04/07/2021,Selangor,Kuala Selangor,Jeram,4,1172,7,1128,0,10,34
04/07/2021,Selangor,Kuala Selangor,Kuala Selangor,2,579,10,558,0,5,16
04/07/2021,Selangor,Kuala Selangor,ljok,10,3787,49,3689,0,25,73
04/07/2021,Selangor,Kuala Selangor,Pasangan,0,46,0,41,0,0,5
04/07/2021,Selangor,Kuala Selangor,Penjara,5,12,0,7,0,0,5
04/07/2021,Selangor,Kuala Selangor,Tanjong Karang,0,694,11,682,0,7,5
04/07/2021,Selangor,Kuala Selangor,Ujong Permatang,0,132,0,128,0,2,2
04/07/2021,Selangor,Petaling,Bukit Raja,46,6011,37,5945,1,26,40
04/07/2021,Selangor,Petaling,Damansara,199,25665,193,25214,2,132,319
04/07/2021,Selangor,Petaling,Penjara,0,18,0,17,0,0,1
04/07/2021,Selangor,Petaling,Petaling,187,27733,240,27297,7,274,162
04/07/2021,Selangor,Petaling,Sungai Buloh,151,17641,179,17368,2,90,183
04/07/2021,Selangor,Sabak Bernam,Bagan Nakhoda Omar,1,123,0,117,0,4,2
04/07/2021,Selangor,Sabak Bernam,Panchang Bedena,0,259,6,250,0,0,9
04/07/2021,Selangor,Sabak Bernam,Pasir Panjang,15,324,5,292,0,1,31
04/07/2021,Selangor,Sabak Bernam,Penjara,0,4,0,4,0,0,0
04/07/2021,Selangor,Sabak Bernam,Sabak,2,414,2,398,0,4,12
04/07/2021,Selangor,Sabak Bernam,Sungai Panjang,0,260,2,247,0,3,10
04/07/2021,Selangor,Sepang,Dengkil,46,9979,241,9650,0,42,287
04/07/2021,Selangor,Sepang,Labu,23,6235,21,6143,2,12,80
04/07/2021,Selangor,Sepang,Penjara,0,83,0,83,0,0,0
04/07/2021,Selangor,Sepang,Sepang,42,1730,27,1558,0,9,163
05/07/2021,Selangor,Gombak,Batu,199,12719,144,12272,2,128,319
05/07/2021,Selangor,Gombak,Hulu Kelang,52,3765,52,3619,2,51,95
05/07/2021,Selangor,Gombak,Kuang,15,2361,36,2295,0,11,55
05/07/2021,Selangor,Gombak,Penjara,0,241,0,238,0,1,0
05/07/2021,Selangor,Gombak,Rawang,35,5435,67,5286,0,46,103
05/07/2021,Selangor,Gombak,Setapak,13,2391,71,2295,0,20,76
05/07/2021,Selangor,Hulu Langat,Ampang,178,12613,188,11827,1,139,647
05/07/2021,Selangor,Hulu Langat,Beranang,7,1048,44,988,0,14,46
05/07/2021,Selangor,Hulu Langat,Cheras,140,12222,152,11639,0,124,459
05/07/2021,Selangor,Hulu Langat,Hulu Langat,16,2297,18,2204,0,24,69
05/07/2021,Selangor,Hulu Langat,Hulu Semenyih,0,0,0,0,0,0,0
05/07/2021,Selangor,Hulu Langat,Kajang,209,19567,217,18565,2,126,876
05/07/2021,Selangor,Hulu Langat,Penjara,9,2453,1,2397,0,0,56
05/07/2021,Selangor,Hulu Langat,Semenyih,58,5237,53,4905,1,36,296
05/07/2021,Selangor,Hulu Selangor,Ampang Pechah,1,433,6,426,0,4,3
05/07/2021,Selangor,Hulu Selangor,Batang Kali,0,497,18,484,0,4,9
05/07/2021,Selangor,Hulu Selangor,Buluh Telur,0,1,0,1,0,0,0
05/07/2021,Selangor,Hulu Selangor,Hulu Bernam,0,191,0,184,0,3,4
05/07/2021,Selangor,Hulu Selangor,Hulu Yam,4,357,0,81,0,2,274
05/07/2021,Selangor,Hulu Selangor,Kalumpang,0,156,2,148,0,0,8
05/07/2021,Selangor,Hulu Selangor,Kerling,1,71,0,69,0,0,2
05/07/2021,Selangor,Hulu Selangor,Kuala Kalumpang,0,0,0,0,0,0,0
05/07/2021,Selangor,Hulu Selangor,Penjara,0,276,0,276,0,0,0
05/07/2021,Selangor,Hulu Selangor,Pertak,0,0,0,0,0,0,0
05/07/2021,Selangor,Hulu Selangor,Rasa,1,233,5,212,1,1,20
05/07/2021,Selangor,Hulu Selangor,Serendah,37,4071,80,3894,0,26,151
05/07/2021,Selangor,Hulu Selangor,Sungai Gumut,0,0,0,0,0,0,0
05/07/2021,Selangor,Hulu Selangor,Sungai Tinggi,2,93,0,91,0,0,2
05/07/2021,Selangor,Klang,Kapar,61,20632,59,20476,0,53,103
05/07/2021,Selangor,Klang,Klang,169,32558,304,32079,4,192,287
05/07/2021,Selangor,Klang,Penjara,0,13,0,13,0,0,0
05/07/2021,Selangor,Kuala Langat,Bandar,0,390,0,385,0,3,2
05/07/2021,Selangor,Kuala Langat,Batu,16,351,1,329,0,6,16
05/07/2021,Selangor,Kuala Langat,Jugra,1,381,4,376,0,2,3
05/07/2021,Selangor,Kuala Langat,Kelanang,0,161,0,154,0,1,6
05/07/2021,Selangor,Kuala Langat,Morib,0,487,4,478,0,9,0
05/07/2021,Selangor,Kuala Langat,Penjara,0,9,0,9,0,0,0
05/07/2021,Selangor,Kuala Langat,Tanjung 12(1),39,4601,38,4518,0,21,62
05/07/2021,Selangor,Kuala Langat,Tanjung 12(2),4,1778,30,1738,0,8,32
05/07/2021,Selangor,Kuala Langat,Telok Panglima Garang,39,5687,17,5602,1,29,56
05/07/2021,Selangor,Kuala Selangor,Api-Api,1,163,2,158,0,1,4
05/07/2021,Selangor,Kuala Selangor,Bestari Jaya,8,1582,13,1554,0,6,22
05/07/2021,Selangor,Kuala Selangor,Hulu Tinggi,0,0,0,0,0,0,0
05/07/2021,Selangor,Kuala Selangor,Jeram,10,1182,2,1130,0,10,42
05/07/2021,Selangor,Kuala Selangor,Kuala Selangor,12,591,12,570,0,5,16
05/07/2021,Selangor,Kuala Selangor,ljok,31,3818,51,3740,0,25,53
05/07/2021,Selangor,Kuala Selangor,Pasangan,0,46,0,41,0,0,5
05/07/2021,Selangor,Kuala Selangor,Penjara,0,12,0,7,0,0,5
05/07/2021,Selangor,Kuala Selangor,Tanjong Karang,6,700,5,687,0,7,6
05/07/2021,Selangor,Kuala Selangor,Ujong Permatang,0,132,1,129,0,2,1
05/07/2021,Selangor,Petaling,Bukit Raja,75,6086,25,5970,1,27,89
05/07/2021,Selangor,Petaling,Damansara,320,25985,178,25392,1,133,460
05/07/2021,Selangor,Petaling,Penjara,0,18,0,17,0,0,1
05/07/2021,Selangor,Petaling,Petaling,349,28082,216,27513,9,283,286
05/07/2021,Selangor,Petaling,Sungai Buloh,238,17879,107,17475,2,92,312
05/07/2021,Selangor,Sabak Bernam,Bagan Nakhoda Omar,0,123,2,119,0,4,0
05/07/2021,Selangor,Sabak Bernam,Panchang Bedena,14,273,1,251,0,0,22
05/07/2021,Selangor,Sabak Bernam,Pasir Panjang,0,324,5,297,0,1,26
05/07/2021,Selangor,Sabak Bernam,Penjara,0,4,0,4,0,0,0
05/07/2021,Selangor,Sabak Bernam,Sabak,3,417,1,399,0,4,14
05/07/2021,Selangor,Sabak Bernam,Sungai Panjang,3,263,8,255,1,4,4
05/07/2021,Selangor,Sepang,Dengkil,146,10125,164,9814,1,43,268
05/07/2021,Selangor,Sepang,Labu,55,6290,42,6185,0,12,93
05/07/2021,Selangor,Sepang,Penjara,0,83,0,83,0,0,0
05/07/2021,Selangor,Sepang,Sepang,31,1761,47,1605,0,9,147
06/07/2021,Selangor,Gombak,Batu,205,12924,143,12415,1,129,380
06/07/2021,Selangor,Gombak,Hulu Kelang,47,3812,44,3663,0,51,98
06/07/2021,Selangor,Gombak,Kuang,105,2466,41,2336,0,11,119
06/07/2021,Selangor,Gombak,Penjara,0,241,0,238,0,1,0
06/07/2021,Selangor,Gombak,Rawang,43,5478,57,5343,0,46,89
06/07/2021,Selangor,Gombak,Setapak,32,2423,33,2328,0,20,75
06/07/2021,Selangor,Hulu Langat,Ampang,196,12809,188,12015,2,141,653
06/07/2021,Selangor,Hulu Langat,Beranang,25,1073,26,1014,1,15,44
06/07/2021,Selangor,Hulu Langat,Cheras,147,12369,201,11840,3,127,402
06/07/2021,Selangor,Hulu Langat,Hulu Langat,20,2317,27,2231,1,25,61
06/07/2021,Selangor,Hulu Langat,Hulu Semenyih,0,0,0,0,0,0,0
06/07/2021,Selangor,Hulu Langat,Kajang,294,19861,198,18763,3,129,969
