date,States,District,Local Cases,Import Cases,Total Cases
25/07/2021,Selangor,Petaling,2832,0,2832
25/07/2021,Selangor,Sepang,257,0,257
26/07/2021,Selangor,Sabak Bernam,52,1,53
26/07/2021,Selangor,Gombak,603,0,603
26/07/2021,Selangor,Hulu Langat,1085,0,1085
26/07/2021,Selangor,Hulu Selangor,342,0,342
26/07/2021,Selangor,Klang,1653,0,1653
26/07/2021,Selangor,Kuala Langat,195,0,195
26/07/2021,Selangor,Kuala Selangor,181,0,181
26/07/2021,Selangor,Petaling,2198,0,2198
26/07/2021,Selangor,Sepang,198,0,198
27/07/2021,Selangor,Gombak,659,1,660
27/07/2021,Selangor,Kuala Langat,267,1,268
27/07/2021,Selangor,Kuala Selangor,293,1,294
27/07/2021,Selangor,Hulu Langat,1484,0,1484
27/07/2021,Selangor,Hulu Selangor,89,0,89
27/07/2021,Selangor,Klang,921,0,921
27/07/2021,Selangor,Petaling,2644,0,2644
27/07/2021,Selangor,Sabak Bernam,17,0,17
27/07/2021,Selangor,Sepang,239,0,239
28/07/2021,Selangor,Hulu Langat,1507,1,1508
28/07/2021,Selangor,Kuala Selangor,181,1,182
28/07/2021,Selangor,Gombak,1021,0,1021
28/07/2021,Selangor,Hulu Selangor,297,0,297
28/07/2021,Selangor,Klang,1063,0,1063
28/07/2021,Selangor,Kuala Langat,154,0,154
28/07/2021,Selangor,Petaling,2697,0,2697
28/07/2021,Selangor,Sabak Bernam,20,0,20
28/07/2021,Selangor,Sepang,229,0,229
29/07/2021,Selangor,Gombak,867,0,867
29/07/2021,Selangor,Hulu Langat,1752,2,1754
29/07/2021,Selangor,Hulu Selangor,313,0,313
29/07/2021,Selangor,Klang,1441,0,1441
29/07/2021,Selangor,Kuala Langat,632,0,632
29/07/2021,Selangor,Kuala Selangor,246,0,246
29/07/2021,Selangor,Petaling,1613,0,1613
29/07/2021,Selangor,Sabak Bernam,7,1,8
29/07/2021,Selangor,Sepang,289,0,289
30/07/2021,Selangor,Gombak,751,0,751
30/07/2021,Selangor,Hulu Langat,1770,0,1770
30/07/2021,Selangor,Hulu Selangor,146,0,146
30/07/2021,Selangor,Klang,984,0,984
30/07/2021,Selangor,Kuala Langat,438,3,441
30/07/2021,Selangor,Kuala Selangor,225,0,225
30/07/2021,Selangor,Petaling,1477,0,1477
30/07/2021,Selangor,Sabak Bernam,41,11,52
30/07/2021,Selangor,Sepang,246,0,246
31/07/2021,Selangor,Gombak,473,0,473
31/07/2021,Selangor,Hulu Langat,2106,0,2106
